what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1474442189235
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1474442338716
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1474442340617
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1474442358785
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1474442358830
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1474442361063
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1474442362435
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1474442368548
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1474442376836
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1474442386522
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1474442392838
started,bundle,org.eclipse.wst.ws.service.policy.ui,1.0.202.v201004211732,"org.eclipse.wst.ws.service.policy.ui",1474442398146
started,bundle,org.eclipse.wst.ws.service.policy,1.0.203.v201004211732,"org.eclipse.wst.ws.service.policy",1474442398159
started,bundle,org.eclipse.wst.command.env,1.0.409.v201004211805,"org.eclipse.wst.command.env",1474442398182
started,bundle,org.eclipse.wst.ws,1.1.203.v201004211805,"org.eclipse.wst.ws",1474442398183
started,bundle,org.eclipse.wst.common.frameworks.ui,1.2.0.v201004080500,"org.eclipse.wst.common.frameworks.ui",1474442398239
started,bundle,org.eclipse.wst.common.core,1.2.0.v200908252030,"org.eclipse.wst.common.core",1474442398246
started,bundle,org.eclipse.compare,3.5.100.I20100526-0800,"org.eclipse.compare",1474442398467
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1474442403156
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1474442411805
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1474442435928
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1474442440480
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1474442444376
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1474442450990
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1474442458349
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1474442467064
opened,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1474442467257
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1474442467386
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineStart",1474442481351
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1474442493691
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1474442498750
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1474442501278
started,bundle,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui",1474442504915
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1474442511915
no handler,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.undo",1474442586957
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1474442589823
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1474442594094
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1474442625546
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1474442627209
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1474442644358
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1474442647488
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1474442741018
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1474442750352
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1474442775043
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1474442782853
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1474442798843
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1474442801892
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1474442815576
started,bundle,org.eclipse.jdt.debug,3.6.1.v20100715_r361,"org.eclipse.jdt.debug",1474442823146
started,bundle,org.eclipse.jdt.debug.ui,3.5.0.v20100602-0830,"org.eclipse.jdt.debug.ui",1474442823301
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1474442823322
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1474442829694
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1474442848688
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1474442853290
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1474442859455
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1474442886698
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1474442886850
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1474442971517
started,bundle,org.eclipse.wst.server.core,1.1.204.v20100908,"org.eclipse.wst.server.core",1474442998442
started,bundle,org.eclipse.wst.server.ui,1.1.205.v20100908,"org.eclipse.wst.server.ui",1474442998461
started,bundle,org.eclipse.jdt.junit.core,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.junit.core",1474442998555
started,bundle,org.eclipse.wst.jsdt.debug.ui,1.0.1.v201008170101,"org.eclipse.wst.jsdt.debug.ui",1474442998669
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1474443002845
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1474443004095
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1474443005634
started,bundle,org.eclipse.wst.jsdt.debug.core,1.0.1.v201008170101,"org.eclipse.wst.jsdt.debug.core",1474443005678
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1474443005718
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1474443007843
closed,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1474443008077
stopped,bundle,org.eclipse.jst.j2ee.xdoclet.runtime,1.1.300.v201004280700,"org.eclipse.jst.j2ee.xdoclet.runtime",1474443008488
stopped,bundle,org.eclipse.jst.j2ee.ejb.annotations.xdoclet,1.2.100.v201003112036,"org.eclipse.jst.j2ee.ejb.annotations.xdoclet",1474443008488
stopped,bundle,org.eclipse.jst.server.generic.jboss,1.6.1.v200904151730,"org.eclipse.jst.server.generic.jboss",1474443008488
stopped,bundle,org.eclipse.jst.server.generic.jonas,1.5.205.v200805140145,"org.eclipse.jst.server.generic.jonas",1474443008489
stopped,bundle,org.eclipse.jst.server.generic.oc4j,1.5.206.v20090812,"org.eclipse.jst.server.generic.oc4j",1474443008489
stopped,bundle,org.eclipse.jst.server.websphere.core,1.0.302.v20080620,"org.eclipse.jst.server.websphere.core",1474443008489
stopped,bundle,org.eclipse.jst.server.generic.ui,1.0.505.v20100428,"org.eclipse.jst.server.generic.ui",1474443008490
stopped,bundle,org.eclipse.jst.server.generic.core,1.0.606.v20100512,"org.eclipse.jst.server.generic.core",1474443008490
stopped,bundle,org.eclipse.mylyn.ide.ant,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.ide.ant",1474443008490
stopped,bundle,org.eclipse.datatools.connectivity.oda.template.ui,3.2.1.v201004090942,"org.eclipse.datatools.connectivity.oda.template.ui",1474443008490
stopped,bundle,org.eclipse.pde.api.tools.ui,1.0.201.v20100820_r361,"org.eclipse.pde.api.tools.ui",1474443008490
stopped,bundle,org.eclipse.pde.ds.ui,1.0.100.v20100601,"org.eclipse.pde.ds.ui",1474443008490
stopped,bundle,org.eclipse.pde.runtime,3.4.200.v20100601,"org.eclipse.pde.runtime",1474443008490
stopped,bundle,org.eclipse.pde.ua.ui,1.0.100.v20100504,"org.eclipse.pde.ua.ui",1474443008490
stopped,bundle,org.eclipse.pde.ui.templates,3.4.200.v20100601,"org.eclipse.pde.ui.templates",1474443008491
stopped,bundle,org.eclipse.pde.ui,3.6.1.v20100810_r361,"org.eclipse.pde.ui",1474443008507
stopped,bundle,org.eclipse.ant.ui,3.5.0.v20100427,"org.eclipse.ant.ui",1474443008507
stopped,bundle,org.eclipse.ant.launching,1.0.0.v20100427,"org.eclipse.ant.launching",1474443008507
stopped,bundle,org.eclipse.compare.win32,1.0.100.I20100505-1245,"org.eclipse.compare.win32",1474443008507
stopped,bundle,org.eclipse.equinox.p2.ui.sdk,1.0.100.v20100513,"org.eclipse.equinox.p2.ui.sdk",1474443008508
stopped,bundle,org.eclipse.jst.server.tomcat.ui,1.1.200.v20100418,"org.eclipse.jst.server.tomcat.ui",1474443008508
stopped,bundle,org.eclipse.jst.server.ui,1.1.101.v20100823b,"org.eclipse.jst.server.ui",1474443008508
stopped,bundle,org.eclipse.mylyn.java.tasks,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.java.tasks",1474443008508
stopped,bundle,org.eclipse.mylyn.java.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.java.ui",1474443008508
stopped,bundle,org.eclipse.jdt.junit,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.junit",1474443008508
stopped,bundle,org.eclipse.jpt.eclipselink.ui,1.3.0.v201004280001,"org.eclipse.jpt.eclipselink.ui",1474443008508
stopped,bundle,org.eclipse.jpt.eclipselink.core,1.3.1.v201007142310,"org.eclipse.jpt.eclipselink.core",1474443008508
stopped,bundle,org.eclipse.jpt.jaxb.ui,1.0.1.v201006300000,"org.eclipse.jpt.jaxb.ui",1474443008508
stopped,bundle,org.eclipse.jpt.ui,2.3.2.v201008252310,"org.eclipse.jpt.ui",1474443008509
stopped,bundle,org.eclipse.jpt.core,2.3.2.v201008252310,"org.eclipse.jpt.core",1474443008510
stopped,bundle,org.eclipse.jpt.db,1.2.201.v201008242310,"org.eclipse.jpt.db",1474443008527
stopped,bundle,org.eclipse.datatools.enablement.jdt.classpath,1.0.1.v201004070709,"org.eclipse.datatools.enablement.jdt.classpath",1474443008527
stopped,bundle,org.eclipse.jdt.apt.ui,3.3.300.v20100513-0845,"org.eclipse.jdt.apt.ui",1474443008527
stopped,bundle,org.eclipse.datatools.enablement.sybase.asa.schemaobjecteditor.examples,2.5.0.200810071,"org.eclipse.datatools.enablement.sybase.asa.schemaobjecteditor.examples",1474443008527
stopped,bundle,org.eclipse.datatools.sqltools.debugger.core.ui,1.0.0.v201003161000,"org.eclipse.datatools.sqltools.debugger.core.ui",1474443008527
stopped,bundle,org.eclipse.jst.server.preview.adapter,1.1.100.v20100308,"org.eclipse.jst.server.preview.adapter",1474443008527
stopped,bundle,org.eclipse.wst.xsl.jaxp.debug.ui,1.0.100.v201004290328,"org.eclipse.wst.xsl.jaxp.debug.ui",1474443008527
